symbol,firstId,volume,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,quoteVolume,openTime,closeTime,lastId,count
ETHBTC,423296141,15294.75220000,0.00012000,0.198,0.06084580,0.06059000,0.06071000,0.13500000,0.06070000,44.19410000,0.06071000,33.50210000,0.06059000,0.06122000,0.06050000,930.62142788,1695753147968,1695839547968,423324094,27954
LTCBTC,93622853,41825.72400000,-0.00001800,-0.738,0.00242959,0.00244000,0.00242200,0.98400000,0.00242100,15.99100000,0.00242200,85.95700000,0.00244000,0.00245400,0.00240900,101.61955778,1695753148380,1695839548380,93633428,10576
BNBBTC,227354094,21694.88300000,-0.00002900,-0.358,0.00808608,0.00810100,0.00807100,0.07000000,0.00807100,12.02700000,0.00807200,9.67600000,0.00810000,0.00812400,0.00801900,175.42659529,1695753145893,1695839545893,227377239,23146
NEOBTC,45535602,9664.64000000,-0.00000290,-1.051,0.00027382,0.00027580,0.00027290,1.18000000,0.00027280,1.63000000,0.00027310,38.02000000,0.00027580,0.00027610,0.00027140,2.64638212,1695753111062,1695839511062,45537334,1733
QTUMETH,5402463,1813.00000000,0.00000600,0.445,0.00134736,0.00134800,0.00135300,8.20000000,0.00135100,5.90000000,0.00135500,10.10000000,0.00134700,0.00135300,0.00132200,2.44276850,1695753142903,1695839542903,5402513,51
EOSETH,23499163,16562.20000000,-0.00000260,-0.735,0.00035192,0.00035470,0.00035120,149.80000000,0.00035080,103.20000000,0.00035150,771.40000000,0.00035380,0.00035490,0.00034690,5.82864562,1695753141834,1695839541834,23499308,146
SNTETH,3913295,679006.00000000,-0.00000010,-0.701,0.00001411,0.00001427,0.00001416,851.00000000,0.00001414,8876.00000000,0.00001421,18448.00000000,0.00001426,0.00001429,0.00001389,9.58405238,1695753146028,1695839546028,3914193,899
BNTETH,2235529,3066.10000000,-0.00000090,-0.362,0.00024827,0.00024900,0.00024750,38.50000000,0.00024720,5.00000000,0.00024840,105.10000000,0.00024840,0.00024960,0.00024640,0.76123066,1695753095616,1695839495616,2235584,56
BCCBTC,-1,0.00000000,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
GASBTC,20826798,15714.40000000,-0.00000080,-0.896,0.00008872,0.00008950,0.00008850,24.90000000,0.00008840,200.40000000,0.00008870,198.10000000,0.00008930,0.00008950,0.00008740,1.39424987,1695753146443,1695839546443,20827975,1178
BNBETH,56346146,6508.18600000,-0.00070000,-0.524,0.13303293,0.13380000,0.13300000,1.45200000,0.13290000,23.19100000,0.13300000,12.45300000,0.13370000,0.13420000,0.13190000,865.80304160,1695753149134,1695839549134,56352572,6427
BTCUSDT,3220700144,34328.48534000,97.23000000,0.372,26416.65399119,26159.30000000,26256.52000000,0.00860000,26256.51000000,11.68717000,26256.52000000,0.20639000,26159.29000000,26850.00000000,26100.00000000,906843719.26857030,1695753149181,1695839549181,3221645748,945605
ETHUSDT,1200690011,273014.04350000,8.75000000,0.552,1606.11197810,1585.12000000,1593.87000000,0.03700000,1593.87000000,149.25310000,1593.88000000,0.19710000,1585.12000000,1634.10000000,1583.50000000,438491125.45606200,1695753149134,1695839549134,1201172017,482007
HSRBTC,-1,0.00000000,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
OAXETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
DNTETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
MCOETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
ICNETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
MCOBTC,-1,0.00000000,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
WTCBTC,20210794,348877.00000000,-0.00000009,-1.456,0.00000621,0.00000622,0.00000609,22.00000000,0.00000609,98.00000000,0.00000614,110.00000000,0.00000618,0.00000642,0.00000603,2.16624331,1695753145909,1695839545909,20211251,458
WTCETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
LRCBTC,22109636,239566.00000000,0.00000000,0.000,0.00000654,0.00000654,0.00000653,510.00000000,0.00000653,2946.00000000,0.00000654,4625.00000000,0.00000653,0.00000659,0.00000649,1.56567315,1695753103741,1695839503741,22110362,727
LRCETH,4718905,37877.00000000,-0.00000036,-0.334,0.00010705,0.00010766,0.00010749,104.00000000,0.00010745,8721.00000000,0.00010791,2178.00000000,0.00010785,0.00010864,0.00010703,4.05481308,1695753147130,1695839547130,4718947,43
QTUMBTC,24074119,5434.20000000,0.00000070,0.861,0.00008140,0.00008150,0.00008200,106.60000000,0.00008200,220.30000000,0.00008220,228.00000000,0.00008130,0.00008250,0.00008060,0.44234708,1695753148902,1695839548902,24074383,265
YOYOBTC,-1,0.00000000,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
OMGBTC,-1,0.00000000,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
OMGETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
ZRXBTC,25404039,76897.00000000,0.00000010,1.447,0.00000700,0.00000693,0.00000701,67.00000000,0.00000701,318.00000000,0.00000703,2895.00000000,0.00000691,0.00000709,0.00000689,0.53834230,1695753085991,1695839485991,25404371,333
ZRXETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
STRATBTC,-1,0.00000000,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
STRATETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
SNGLSBTC,-1,0.00000000,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
SNGLSETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
BQXBTC,-1,0.00000000,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
BQXETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
KNCBTC,20258430,234583.70000000,-0.00000055,-2.004,0.00002723,0.00002748,0.00002689,84.00000000,0.00002689,182.50000000,0.00002692,89.70000000,0.00002744,0.00002828,0.00002622,6.38821519,1695753140420,1695839540420,20260317,1888
KNCETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00039410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
FUNBTC,-1,0.00000000,0.00000000,0.000,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
FUNETH,3201806,1006534.00000000,-0.00000006,-2.449,0.00000242,0.00000246,0.00000239,84171.00000000,0.00000238,251729.00000000,0.00000240,185818.00000000,0.00000245,0.00000245,0.00000239,2.43174685,1695753139760,1695839539760,3201886,81
SNMBTC,14644423,26662465.00000000,-0.00000069,-54.762,0.00000098,0.00000127,0.00000057,46703.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000126,0.00000147,0.00000055,26.13502488,1692586803266,1692673203266,14651718,7296
SNMETH,-1,0.00000000,0.00000000,0.000,0.00000000,0.00004986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689571856784,1689658256784,-1,0
NEOETH,11345380,1504.87000000,-0.00004600,-1.011,0.00449177,0.00455000,0.00450200,4.13000000,0.00449500,4.13000000,0.00450200,27.05000000,0.00454800,0.00454800,0.00446600,6.75953740,1695753102809,1695839502809,11345874,495
